code-barres,"date création exemplaire","date dernier retour exemplaire","nb prêts","code collection",lib1,lib2,lib3,lib4
C0005840625,2013-08-02,2016-11,25,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003725316,2005-03-25,2015-09,82,JCIFEF1,Jeunesse,Cinéma,Films,"A partir de 6 ans"
C0003767986,2005-03-25,2015-09,118,JCIFEF1,Jeunesse,Cinéma,Films,"A partir de 6 ans"
C0003752868,2005-03-25,2014-11,40,JDT60ZZ,Jeunesse,Documentaires,"Santé / Cuisine / Jeux et sports (enfants)",
C0005293292,2010-07-10,2014-08,11,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0004195857,2006-01-26,2014-11,57,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0003646669,2005-03-25,2015-07,28,JDT30ZZ,Jeunesse,Documentaires,"Société (enfants)",
C0003759527,2005-03-25,2014-12,60,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0004941591,2009-10-23,2015-03,66,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003646740,2005-03-25,2015-07,31,JDT00ZZ,Jeunesse,Documentaires,"Informatique / Culture générale (enfants)",
C0003392951,2010-04-10,,15,J04,Jeunesse,Albums,"Albums enfants",
C0003784823,2005-03-25,2015-09,45,JDTPFZZ,Jeunesse,Documentaires,"Documentaires pour petits enfants",
C0004854134,2009-10-13,,42,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003784700,2005-03-25,,24,J04,Jeunesse,Albums,"Albums enfants",
C0005209007,2011-10-13,2015-11,25,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003788827,2005-03-25,2016-05,34,JDT90ZZ,Jeunesse,Documentaires,"Géographie / Histoire (enfants)",
C0004528246,2007-09-13,2015-04,16,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003801829,2005-03-25,2016-06,57,JABPFCO,Jeunesse,Albums,Comptines,
C0003807875,2005-03-25,2015-01,64,JBDZZZZ,Jeunesse,"Bandes dessinées","Bandes dessinées enfants",
C0003785162,2012-10-02,2015-05,5,JDT50ZZ,Jeunesse,Documentaires,"Sciences / Animaux (enfants)",
C0003848237,2005-03-25,2015-02,18,JDT90ZZ,Jeunesse,Documentaires,"Géographie / Histoire (enfants)",
C0005209031,2011-10-13,2015-03,34,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005265532,2010-07-28,2016-04,54,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003817278,2005-03-25,,81,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003845378,2005-03-25,2015-03,68,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0005464609,2012-04-04,2016-05,27,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005165465,2013-04-27,2015-03,17,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0005197925,2012-08-16,2015-12,62,JABEFAE,Jeunesse,Albums,"Albums pour enfants",
C0003846227,2005-03-25,,56,J05,Jeunesse,Albums,"Albums Petits enfants",
C0003846405,2005-03-25,2015-01,47,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003872147,2005-03-25,,61,J11,Jeunesse,Documentaires,,
C0003845344,2005-03-25,2016-03,37,JABPFIP,Jeunesse,Albums,"Imagiers petits enfants",
C0005173094,2011-02-17,2015-04,61,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003843847,2005-03-25,2014-10,28,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
C0003818753,2005-03-25,2016-01,21,JABPFAF,Jeunesse,Albums,"Albums petits enfants",
